"target_gene"	"experiment_id"	"cell_line"	"gene_silencing_series"
"RCC2"	"ENCSR921KDS"	"K562"	"ENCSR100GIZ"
"RPL23A"	"ENCSR706SXN"	"HepG2"	"ENCSR732XCU"
"RPS10"	"ENCSR410UHJ"	"HepG2"	"ENCSR245WSO"
"RPS10"	"ENCSR004RGI"	"K562"	"ENCSR819WUX"
"RPS19"	"ENCSR486AIO"	"HepG2"	"ENCSR424DOB"
"RPS19"	"ENCSR098NHI"	"K562"	"ENCSR602APO"
"RPS2"	"ENCSR667RIA"	"HepG2"	"ENCSR188XBQ"
"RPS3A"	"ENCSR118VQR"	"HepG2"	"ENCSR078ZFS"
"RPS3A"	"ENCSR788YGG"	"K562"	"ENCSR803YTK"
"RPS5"	"ENCSR838SMC"	"HepG2"	"ENCSR643UXI"
"RRP9"	"ENCSR471GIS"	"HepG2"	"ENCSR793FHF"
"RRP9"	"ENCSR210KJB"	"K562"	"ENCSR420UVJ"
"SAFB2"	"ENCSR110ZYD"	"HepG2"	"ENCSR616DAC"
"SAFB2"	"ENCSR770LYW"	"K562"	"ENCSR486SNX"
"SART3"	"ENCSR011BBS"	"HepG2"	"ENCSR812YDZ"
"SART3"	"ENCSR954HAY"	"K562"	"ENCSR396HJG"
"SBDS"	"ENCSR343DHN"	"HepG2"	"ENCSR371FFJ"
"SBDS"	"ENCSR219DXZ"	"K562"	"ENCSR818WLG"
"SERBP1"	"ENCSR820ROH"	"HepG2"	"ENCSR779VTD"
"SERBP1"	"ENCSR925RNE"	"K562"	"ENCSR284WTC"
"SF1"	"ENCSR644AIM"	"HepG2"	"ENCSR711FIY"
"SF1"	"ENCSR628JYB"	"K562"	"ENCSR777JPW"
"SF1"	"ENCSR562CCA"	"K562"	"ENCSR675KZH"
"SF3A3"	"ENCSR374NMJ"	"HepG2"	"ENCSR415VVG"
"SF3A3"	"ENCSR454KYR"	"K562"	"ENCSR692YFS"
"SF3B1"	"ENCSR896CFV"	"HepG2"	"ENCSR144FRZ"
"SF3B4"	"ENCSR148MQK"	"HepG2"	"ENCSR617SJU"
"SF3B4"	"ENCSR081XRA"	"K562"	"ENCSR545JRZ"
"SLBP"	"ENCSR519KXM"	"HepG2"	"ENCSR239VHY"
"SLBP"	"ENCSR112YTD"	"K562"	"ENCSR027WCW"
"SLTM"	"ENCSR185JGT"	"HepG2"	"ENCSR284QBD"
"SLTM"	"ENCSR234YMW"	"K562"	"ENCSR999PXW"
"SMN1"	"ENCSR090UMI"	"HepG2"	"ENCSR351TBB"
"SMN1"	"ENCSR129ROE"	"K562"	"ENCSR598HHA"
"SMNDC1"	"ENCSR995ZGJ"	"HepG2"	"ENCSR383KJZ"
"SMNDC1"	"ENCSR408SDL"	"K562"	"ENCSR791XKC"
"SND1"	"ENCSR398LZW"	"HepG2"	"ENCSR332BHS"
"SND1"	"ENCSR232XRZ"	"K562"	"ENCSR849MTM"
"SNRNP200"	"ENCSR003LSA"	"HepG2"	"ENCSR166KII"
"SNRNP200"	"ENCSR943LIB"	"K562"	"ENCSR565WQW"
"SNRNP70"	"ENCSR635BOO"	"HepG2"	"ENCSR019AYN"
"SRFBP1"	"ENCSR153GKS"	"HepG2"	"ENCSR267PMJ"
"SRFBP1"	"ENCSR813NZP"	"K562"	"ENCSR895YWO"
"SRP68"	"ENCSR167JPY"	"HepG2"	"ENCSR579VHH"
"SRP68"	"ENCSR312SRB"	"K562"	"ENCSR552QKE"
"SRSF1"	"ENCSR094KBY"	"HepG2"	"ENCSR308EYX"
"SRSF1"	"ENCSR066VOO"	"K562"	"ENCSR374CDY"
"SRSF3"	"ENCSR376FGR"	"HepG2"	"ENCSR889URB"
"SRSF5"	"ENCSR781YNI"	"HepG2"	"ENCSR200UMM"
"SRSF9"	"ENCSR597XHH"	"HepG2"	"ENCSR128IPS"
"SSB"	"ENCSR278CHI"	"HepG2"	"ENCSR623QDI"
"SSB"	"ENCSR891AXF"	"K562"	"ENCSR655TZO"
"SSRP1"	"ENCSR422JMS"	"HepG2"	"ENCSR789DBN"
